,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
137,138,Sierra Leone,3.849400043487549,0.2789907157421112,0.37712398171424866,0.099918894469738,0.40816107392311096,0.2427666187286377,0.04652806371450424
138,139,India,3.8189001083374023,0.7406192421913147,0.31622985005378723,0.38282087445259094,0.6222656965255737,0.24624469876289368,0.10562895238399506
139,140,Burundi,3.7753000259399414,0.0,0.06247328966856003,0.15501809120178223,0.2976396083831787,0.17239798605442047,0.21198521554470062
140,141,Yemen,3.657900094985962,0.32949748635292053,0.8311890959739685,0.2722286581993103,0.26819995045661926,0.09226715564727783,0.08867911994457245
141,142,Tanzania,3.623199939727783,0.43330812454223633,0.5395141243934631,0.2998630106449127,0.5492643117904663,0.3074494004249573,0.23108436167240143
142,143,Haiti,3.6149001121520996,0.2941065728664398,0.17326688766479492,0.22745640575885773,0.2574906051158905,0.4629477262496948,0.13921146094799042
143,144,Malawi,3.5999999046325684,0.1125684604048729,0.16761381924152374,0.2982420325279236,0.48424458503723145,0.21302472054958344,0.1340993493795395
144,145,Lesotho,3.5118000507354736,0.450848251581192,0.7305609583854675,0.00699187908321619,0.4054553210735321,0.10281939804553986,0.015283909626305103
145,146,Botswana,3.4665000438690186,1.0991977453231812,0.7244781851768494,0.3398677110671997,0.5386261940002441,0.027393924072384834,0.08846781402826309
146,147,Rwanda,3.4147000312805176,0.3636244535446167,0.20218317210674286,0.406968891620636,0.626681387424469,0.22745664417743683,0.4926692843437195
147,148,Zimbabwe,3.1447999477386475,0.4567241668701172,0.6485522985458374,0.24323031306266785,0.3589070439338684,0.15708784759044647,0.07547120004892349
148,149,Afghanistan,2.522900104522705,0.37011992931365967,0.0,0.12644000351428986,0.0,0.12164115160703659,0.009569092653691769
